Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 
(s)	 (m) 	(m) 	(m) 	(m) 	(m) 	(m) 	
0.5	 179.55	 -305.69	 -13.44	 29.9691	 -51.5002	 -28.706	 
0.5	 179.55	 -305.69	 -13.44	 29.9584	 -51.5003	 -28.6871	 
0.5	 179.55	 -305.69	 -13.44	 29.9585	 -51.5003	 -28.6875	 
0.6	 179.55	 -305.69	 -13.44	 29.9558	 -51.5003	 -28.6827	 
0.6	 179.55	 -305.69	 -13.44	 29.9395	 -51.5005	 -28.655	 
0.6	 179.55	 -305.69	 -13.44	 29.9395	 -51.5005	 -28.6544	 
0.733333	 179.55	 -305.69	 -13.44	 29.9345	 -51.5005	 -28.6457	 
0.733333	 179.55	 -305.69	 -13.44	 29.9077	 -51.5007	 -28.5986	 
0.733333	 179.55	 -305.69	 -13.44	 29.9078	 -51.5007	 -28.5988	 
0.866667	 179.55	 -305.69	 -13.44	 29.9078	 -51.5007	 -28.5988	 
0.866667	 179.55	 -305.69	 -13.44	 29.8767	 -51.5009	 -28.5443	 
0.866667	 179.55	 -305.69	 -13.44	 29.8769	 -51.5009	 -28.5453	 
1	 179.55	 -305.69	 -13.44	 29.877	 -51.5009	 -28.5454	 
1	 179.55	 -305.69	 -13.44	 29.8422	 -51.5012	 -28.4859	 
1	 179.55	 -305.69	 -13.44	 29.8422	 -51.5012	 -28.4855	 
1.11111	 179.55	 -305.69	 -13.44	 29.8477	 -51.5011	 -28.4949	 
1.11111	 179.55	 -305.69	 -13.44	 29.8162	 -51.5014	 -28.4407	 
1.11111	 179.55	 -305.69	 -13.44	 29.8163	 -51.5014	 -28.4411	 
1.2381	 179.55	 -305.69	 -13.44	 29.812	 -51.5014	 -28.4338	 
1.2381	 179.55	 -305.69	 -13.44	 29.7726	 -51.5017	 -28.3667	 
1.2381	 179.55	 -305.69	 -13.44	 29.7725	 -51.5017	 -28.366	 
1.36905	 179.55	 -305.69	 -13.44	 29.7713	 -51.5017	 -28.3639	 
1.36905	 179.55	 -305.69	 -13.44	 29.7265	 -51.502	 -28.2869	 
1.36905	 179.55	 -305.69	 -13.44	 29.7266	 -51.502	 -28.2875	 
1.5	 179.55	 -305.69	 -13.44	 29.7266	 -51.502	 -28.2876	 
1.5	 
